Location,Date,Temperature,Humidity,AirQualityIndex
Lake View,2023-01-24,81.5,183,-93
Meadowlands,2023-01-25,84.5,188,-94
Greenwood,2023-01-26,86.0,193,-103
Woodland Park,2023-01-27,79.5,174,-87
Riverside,2023-01-28,80.5,179,-91
Lake View,2023-01-29,82.0,184,-94
Meadowlands,2023-01-30,85.0,189,-95
Greenwood,2023-01-31,86.5,194,-104
Woodland Park,2023-02-01,80.0,175,-88
Riverside,2023-02-02,81.0,180,-92
Lake View,2023-02-03,82.5,185,-95
Meadowlands,2023-02-04,85.5,190,-96
Greenwood,2023-02-05,87.0,195,-105
Woodland Park,2023-02-06,80.5,176,-89
Riverside,2023-02-07,81.5,181,-93
Lake View,2023-02-08,83.0,186,-96
Meadowlands,2023-02-09,86.0,191,-97
Greenwood,2023-02-10,87.5,196,-106
Woodland Park,2023-02-11,81.0,177,-90
Riverside,2023-02-12,82.0,182,-94
Lake View,2023-02-13,83.5,187,-97
Meadowlands,2023-02-14,86.5,192,-98
Greenwood,2023-02-15,88.0,197,-107
Woodland Park,2023-02-16,81.5,178,-91
Riverside,2023-02-17,82.5,183,-95
Lake View,2023-02-18,84.0,188,-98
Meadowlands,2023-02-19,87.0,193,-99
Greenwood,2023-02-20,88.5,198,-108
Woodland Park,2023-02-21,82.0,179,-92
Riverside,2023-02-22,83.0,184,-96
Lake View,2023-02-23,84.5,189,-99
Meadowlands,2023-02-24,87.5,194,-100
Greenwood,2023-02-25,89.0,199,-109
Woodland Park,2023-02-26,82.5,180,-93
Riverside,2023-02-27,83.5,185,-97
Lake View,2023-02-28,85.0,190,-100
Meadowlands,2023-03-01,88.0,195,-101
Greenwood,2023-03-02,89.5,200,-110
Woodland Park,2023-03-03,83.0,181,-94
Riverside,2023-03-04,84.0,186,-98
Lake View,2023-03-05,85.5,191,-101
Meadowlands,2023-03-06,88.5,196,-102
Greenwood,2023-03-07,90.0,201,-111
Woodland Park,2023-03-08,83.5,182,-95
Riverside,2023-03-09,84.5,187,-99
Lake View,2023-03-10,86.0,192,-102
Meadowlands,2023-03-11,89.0,197,-103
Greenwood,2023-03-12,90.5,202,-112
Woodland Park,2023-03-13,84.0,183,-96
Riverside,2023-03-14,85.0,188,-100
Lake View,2023-03-15,86.5,193,-103
Meadowlands,2023-03-16,89.5,198,-104
Greenwood,2023-03-17,91.0,203,-113
Woodland Park,2023-03-18,84.5,184,-97
Riverside,2023-03-19,85.5,189,-101
Lake View,2023-03-20,87.0,194,-104
Meadowlands,2023-03-21,90.0,199,-105
Greenwood,2023-03-22,91.5,204,-114
Woodland Park,2023-03-23,85.0,185,-98
Riverside,2023-03-24,86.0,190,-102
Lake View,2023-03-25,87.5,195,-105
Meadowlands,2023-03-26,90.5,200,-106
Greenwood,2023-03-27,92.0,205,-115
Woodland Park,2023-03-28,85.5,186,-99
Riverside,2023-03-29,86.5,191,-103
Lake View,2023-03-30,88.0,196,-106
Meadowlands,2023-03-31,91.0,201,-107
Greenwood,2023-04-01,92.5,206,-116
Woodland Park,2023-04-02,86.0,187,-100
Riverside,2023-04-03,87.0,192,-104
Lake View,2023-04-04,88.5,197,-107
Meadowlands,2023-04-05,91.5,202,-108
Greenwood,2023-04-06,93.0,207,-117
Woodland Park,2023-04-07,86.5,188,-101
Riverside,2023-04-08,87.5,193,-105
Lake View,2023-04-09,89.0,198,-108
Meadowlands,2023-04-10,92.0,203,-109
Greenwood,2023-04-11,93.5,208,-118
Woodland Park,2023-04-12,87.0,189,-102
Riverside,2023-04-13,88.0,194,-106
Lake View,2023-04-14,89.5,199,-109
Meadowlands,2023-04-15,92.5,204,-110
Greenwood,2023-04-16,94.0,209,-119
Woodland Park,2023-04-17,87.5,190,-103
Riverside,2023-04-18,88.5,195,-107
Lake View,2023-04-19,90.0,200,-110
Meadowlands,2023-04-20,93.0,205,-111
Greenwood,2023-04-21,94.5,210,-120
Woodland Park,2023-04-22,88.0,191,-104
Riverside,2023-04-23,89.0,196,-108
Lake View,2023-04-24,90.5,201,-111
Meadowlands,2023-04-25,93.5,206,-112
Greenwood,2023-04-26,95.0,211,-121
Woodland Park,2023-04-27,88.5,192,-105
Riverside,2023-04-28,89.5,197,-109
Lake View,2023-04-29,91.0,202,-112
Meadowlands,2023-04-30,94.0,207,-113
Greenwood,2023-05-01,95.5,212,-122
Woodland Park,2023-05-02,89.0,193,-106
Riverside,2023-05-03,90.0,198,-110
Lake View,2023-05-04,91.5,203,-113
Meadowlands,2023-05-05,94.5,208,-114
Greenwood,2023-05-06,96.0,213,-123
Woodland Park,2023-05-07,89.5,194,-107
Riverside,2023-05-08,90.5,199,-111
Lake View,2023-05-09,92.0,204,-114
Meadowlands,2023-05-10,95.0,209,-115
Greenwood,2023-05-11,96.5,214,-124
Woodland Park,2023-05-12,90.0,195,-108
Riverside,2023-05-13,91.0,200,-112
Lake View,2023-05-14,92.5,205,-115
Meadowlands,2023-05-15,95.5,210,-116
Greenwood,2023-05-16,97.0,215,-125
Woodland Park,2023-05-17,90.5,196,-109
Riverside,2023-05-18,91.5,201,-113
Lake View,2023-05-19,93.0,206,-116
Meadowlands,2023-05-20,96.0,211,-117
Greenwood,2023-05-21,97.5,216,-126
Woodland Park,2023-05-22,91.0,197,-110
Riverside,2023-05-23,92.0,202,-114
Lake View,2023-05-24,93.5,207,-117
Meadowlands,2023-05-25,96.5,212,-118
Greenwood,2023-05-26,98.0,217,-127
Woodland Park,2023-05-27,91.5,198,-111
Riverside,2023-05-28,92.5,203,-115
Lake View,2023-05-29,94.0,208,-118
Meadowlands,2023-05-30,97.0,213,-119
Greenwood,2023-05-31,98.5,218,-128
Woodland Park,2023-06-01,92.0,199,-112
Riverside,2023-06-02,93.0,204,-116
Lake View,2023-06-03,94.5,209,-119
Meadowlands,2023-06-04,97.5,214,-120
Greenwood,2023-06-05,99.0,219,-129
Woodland Park,2023-06-06,92.5,200,-113
Riverside,2023-06-07,93.5,205,-117
Lake View,2023-06-08,95.0,210,-120
Meadowlands,2023-06-09,98.0,215,-121
Greenwood,2023-06-10,99.5,220,-130
Woodland Park,2023-06-11,93.0,201,-114
Riverside,2023-06-12,94.0,206,-118
Lake View,2023-06-13,95.5,211,-121
Meadowlands,2023-06-14,98.5,216,-122
Greenwood,2023-06-15,100.0,221,-131
Woodland Park,2023-06-16,93.5,202,-115
Riverside,2023-06-17,94.5,207,-119
Lake View,2023-06-18,96.0,212,-122
Meadowlands,2023-06-19,99.0,217,-123
Greenwood,2023-06-20,100.5,222,-132
Woodland Park,2023-06-21,94.0,203,-116
Riverside,2023-06-22,95.0,208,-120
Lake View,2023-06-23,96.5,213,-123
Meadowlands,2023-06-24,99.5,218,-124
Greenwood,2023-06-25,101.0,223,-133
Woodland Park,2023-06-26,94.5,204,-117
Riverside,2023-06-27,95.5,209,-121
Lake View,2023-06-28,97.0,214,-124
Meadowlands,2023-06-29,100.0,219,-125
Greenwood,2023-06-30,101.5,224,-134
Woodland Park,2023-07-01,95.0,205,-118
Riverside,2023-07-02,96.0,210,-122
Lake View,2023-07-03,97.5,215,-125
Meadowlands,2023-07-04,100.5,220,-126
Greenwood,2023-07-05,102.0,225,-135
Woodland Park,2023-07-06,95.5,206,-119
Riverside,2023-07-07,96.5,211,-123
Lake View,2023-07-08,98.0,216,-126
Meadowlands,2023-07-09,101.0,221,-127
Greenwood,2023-07-10,102.5,226,-136
Woodland Park,2023-07-11,96.0,207,-120
Riverside,2023-07-12,97.0,212,-124
Lake View,2023-07-13,98.5,217,-127
Meadowlands,2023-07-14,101.5,222,-128
Greenwood,2023-07-15,103.0,227,-137
Woodland Park,2023-07-16,96.5,208,-121
Riverside,2023-07-17,97.5,213,-125
Lake View,2023-07-18,99.0,218,-128
Meadowlands,2023-07-19,102.0,223,-129
Greenwood,2023-07-20,103.5,228,-138
Woodland Park,2023-07-21,97.0,209,-122
Riverside,2023-07-22,98.0,214,-126
Lake View,2023-07-23,99.5,219,-129
Meadowlands,2023-07-24,102.5,224,-130
Greenwood,2023-07-25,104.0,229,-139
Woodland Park,2023-07-26,97.5,210,-123
Riverside,2023-07-27,98.5,215,-127
Lake View,2023-07-28,100.0,220,-130
Meadowlands,2023-07-29,103.0,225,-131
Greenwood,2023-07-30,104.5,230,-140
Woodland Park,2023-07-31,98.0,211,-124
Riverside,2023-08-01,99.0,216,-128
Lake View,2023-08-02,100.5,221,-131
Meadowlands,2023-08-03,103.5,226,-132
Greenwood,2023-08-04,105.0,231,-141
Woodland Park,2023-08-05,98.5,212,-125
Riverside,2023-08-06,99.5,217,-129
Lake View,2023-08-07,101.0,222,-132
Meadowlands,2023-08-08,104.0,227,-133
Greenwood,2023-08-09,105.5,232,-142
Woodland Park,2023-08-10,99.0,213,-126
Riverside,2023-08-11,100.0,218,-130
Lake View,2023-08-12,101.5,223,-133
Meadowlands,2023-08-13,104.5,228,-134
Greenwood,2023-08-14,106.0,233,-143
Woodland Park,2023-08-15,99.5,214,-127
Riverside,2023-08-16,100.5,219,-131
Lake View,2023-08-17,102.0,224,-134
Meadowlands,2023-08-18,105.0,229,-135
Greenwood,2023-08-19,106.5,234,-144
Woodland Park,2023-08-20,100.0,215,-128
Riverside,2023-08-21,101.0,220,-132
Lake View,2023-08-22,102.5,225,-135
Meadowlands,2023-08-23,105.5,230,-136
Greenwood,2023-08-24,107.0,235,-145
Woodland Park,2023-08-25,100.5,216,-129
Riverside,2023-08-26,101.5,221,-133
Lake View,2023-08-27,103.0,226,-136
Meadowlands,2023-08-28,106.0,231,-137
Greenwood,2023-08-29,107.5,236,-146
Woodland Park,2023-08-30,101.0,217,-130
Riverside,2023-08-31,102.0,222,-134
Lake View,2023-09-01,103.5,227,-137
Meadowlands,2023-09-02,106.5,232,-138
Greenwood,2023-09-03,108.0,237,-147
Woodland Park,2023-09-04,101.5,218,-131
Riverside,2023-09-05,102.5,223,-135
Lake View,2023-09-06,104.0,228,-138
Meadowlands,2023-09-07,107.0,233,-139
Greenwood,2023-09-08,108.5,238,-148
Woodland Park,2023-09-09,102.0,219,-132
Riverside,2023-09-10,103.0,224,-136
Lake View,2023-09-11,104.5,229,-139
Meadowlands,2023-09-12,107.5,234,-140
Greenwood,2023-09-13,109.0,239,-149
Woodland Park,2023-09-14,102.5,220,-133
Riverside,2023-09-15,103.5,225,-137
Lake View,2023-09-16,105.0,230,-140
Meadowlands,2023-09-17,108.0,235,-141
Greenwood,2023-09-18,109.5,240,-150
Woodland Park,2023-09-19,103.0,221,-134
Riverside,2023-09-20,104.0,226,-138
Lake View,2023-09-21,105.5,231,-141
Meadowlands,2023-09-22,108.5,236,-142
Greenwood,2023-09-23,110.0,241,-151
Woodland Park,2023-09-24,103.5,222,-135
Riverside,2023-09-25,104.5,227,-139
Lake View,2023-09-26,106.0,232,-142
Meadowlands,2023-09-27,109.0,237,-143
Greenwood,2023-09-28,110.5,242,-152
Woodland Park,2023-09-29,104.0,223,-136
Riverside,2023-09-30,105.0,228,-140
Lake View,2023-10-01,106.5,233,-143
Meadowlands,2023-10-02,109.5,238,-144
Greenwood,2023-10-03,111.0,243,-153
Woodland Park,2023-10-04,104.5,224,-137
Riverside,2023-10-05,105.5,229,-141
Lake View,2023-10-06,107.0,234,-144
Meadowlands,2023-10-07,110.0,239,-145
Greenwood,2023-10-08,111.5,244,-154
Woodland Park,2023-10-09,105.0,225,-138
Riverside,2023-10-10,106.0,230,-142
Lake View,2023-10-11,107.5,235,-145
Meadowlands,2023-10-12,110.5,240,-146
Greenwood,2023-10-13,112.0,245,-155
Woodland Park,2023-10-14,105.5,226,-139
Riverside,2023-10-15,106.5,231,-143
Lake View,2023-10-16,108.0,236,-146
Meadowlands,2023-10-17,111.0,241,-147
Greenwood,2023-10-18,112.5,246,-156
Woodland Park,2023-10-19,106.0,227,-140
Riverside,2023-10-20,107.0,232,-144
Lake View,2023-10-21,108.5,237,-147
Meadowlands,2023-10-22,111.5,242,-148
Greenwood,2023-10-23,113.0,247,-157
Woodland Park,2023-10-24,106.5,228,-141
Riverside,2023-10-25,107.5,233,-145
Lake View,2023-10-26,109.0,238,-148
Meadowlands,2023-10-27,112.0,243,-149
Greenwood,2023-10-28,113.5,248,-158
Woodland Park,2023-10-29,107.0,229,-142
Riverside,2023-10-30,108.0,234,-146
Lake View,2023-10-31,109.5,239,-149
Meadowlands,2023-11-01,112.5,244,-150
Greenwood,2023-11-02,114.0,249,-159
Woodland Park,2023-11-03,107.5,230,-143
Riverside,2023-11-04,108.5,235,-147
Lake View,2023-11-05,110.0,240,-150
Meadowlands,2023-11-06,113.0,245,-151
Greenwood,2023-11-07,114.5,250,-160
Woodland Park,2023-11-08,108.0,231,-144
Riverside,2023-11-09,109.0,236,-148
Lake View,2023-11-10,110.5,241,-151
Meadowlands,2023-11-11,113.5,246,-152
Greenwood,2023-11-12,115.0,251,-161
Woodland Park,2023-11-13,108.5,232,-145
Riverside,2023-11-14,109.5,237,-149
Lake View,2023-11-15,111.0,242,-152
Meadowlands,2023-11-16,114.0,247,-153
Greenwood,2023-11-17,115.5,252,-162
Woodland Park,2023-11-18,109.0,233,-146
Riverside,2023-11-19,110.0,238,-150
Lake View,2023-11-20,111.5,243,-153
Meadowlands,2023-11-21,114.5,248,-154
Greenwood,2023-11-22,116.0,253,-163
Woodland Park,2023-11-23,109.5,234,-147
Riverside,2023-11-24,110.5,239,-151
Lake View,2023-11-25,112.0,244,-154
Meadowlands,2023-11-26,115.0,249,-155
Greenwood,2023-11-27,116.5,254,-164
Woodland Park,2023-11-28,110.0,235,-148
Riverside,2023-11-29,111.0,240,-152
Lake View,2023-11-30,112.5,245,-155
Meadowlands,2023-12-01,115.5,250,-156
Greenwood,2023-12-02,117.0,255,-165
Woodland Park,2023-12-03,110.5,236,-149
Riverside,2023-12-04,111.5,241,-153
Lake View,2023-12-05,113.0,246,-156
Meadowlands,2023-12-06,116.0,251,-157
Greenwood,2023-12-07,117.5,256,-166
Woodland Park,2023-12-08,111.0,237,-150
Riverside,2023-12-09,112.0,242,-154
Lake View,2023-12-10,113.5,247,-157
Meadowlands,2023-12-11,116.5,252,-158
Greenwood,2023-12-12,118.0,257,-167
Woodland Park,2023-12-13,111.5,238,-151
Riverside,2023-12-14,112.5,243,-155
Lake View,2023-12-15,114.0,248,-158
Meadowlands,2023-12-16,117.0,253,-159
Greenwood,2023-12-17,118.5,258,-168
Woodland Park,2023-12-18,112.0,239,-152
Riverside,2023-12-19,113.0,244,-156
Lake View,2023-12-20,114.5,249,-159
Meadowlands,2023-12-21,117.5,254,-160
Greenwood,2023-12-22,119.0,259,-169
Woodland Park,2023-12-23,112.5,240,-153
Riverside,2023-12-24,113.5,245,-157
Lake View,2023-12-25,115.0,250,-160
Meadowlands,2023-12-26,118.0,255,-161
Greenwood,2023-12-27,119.5,260,-170
Woodland Park,2023-12-28,113.0,241,-154
Riverside,2023-12-29,114.0,246,-158
Lake View,2023-12-30,115.5,251,-161
Meadowlands,2023-12-31,118.5,256,-162
Greenwood,2024-01-01,120.0,261,-171
Woodland Park,2024-01-02,113.5,242,-155
Riverside,2024-01-03,114.5,247,-159
Lake View,2024-01-04,116.0,252,-162
Meadowlands,2024-01-05,119.0,257,-163
Greenwood,2024-01-06,120.5,262,-172
Woodland Park,2024-01-07,114.0,243,-156
Riverside,2024-01-08,115.0,248,-160
Lake View,2024-01-09,116.5,253,-163
Meadowlands,2024-01-10,119.5,258,-164
Greenwood,2024-01-11,121.0,263,-173
Woodland Park,2024-01-12,114.5,244,-157
Riverside,2024-01-13,115.5,249,-161
Lake View,2024-01-14,117.0,254,-164
Meadowlands,2024-01-15,120.0,259,-165
Greenwood,2024-01-16,121.5,264,-174
Woodland Park,2024-01-17,115.0,245,-158
Riverside,2024-01-18,116.0,250,-162
Lake View,2024-01-19,117.5,255,-165
Meadowlands,2024-01-20,120.5,260,-166
Greenwood,2024-01-21,122.0,265,-175
Woodland Park,2024-01-22,115.5,246,-159
Riverside,2024-01-23,116.5,251,-163
Lake View,2024-01-24,118.0,256,-166
Meadowlands,2024-01-25,121.0,261,-167
Greenwood,2024-01-26,122.5,266,-176
Woodland Park,2024-01-27,116.0,247,-160
Riverside,2024-01-28,117.0,252,-164
Lake View,2024-01-29,118.5,257,-167
Meadowlands,2024-01-30,121.5,262,-168
Greenwood,2024-01-31,123.0,267,-177
Woodland Park,2024-02-01,116.5,248,-161
Riverside,2024-02-02,117.5,253,-165
Lake View,2024-02-03,119.0,258,-168
Meadowlands,2024-02-04,122.0,263,-169
Greenwood,2024-02-05,123.5,268,-178
Woodland Park,2024-02-06,117.0,249,-162
Riverside,2024-02-07,118.0,254,-166
Lake View,2024-02-08,119.5,259,-169
Meadowlands,2024-02-09,122.5,264,-170
Greenwood,2024-02-10,124.0,269,-179
Woodland Park,2024-02-11,117.5,250,-163
Riverside,2024-02-12,118.5,255,-167
Lake View,2024-02-13,120.0,260,-170
Meadowlands,2024-02-14,123.0,265,-171
Greenwood,2024-02-15,124.5,270,-180
Woodland Park,2024-02-16,118.0,251,-164
Riverside,2024-02-17,119.0,256,-168
Lake View,2024-02-18,120.5,261,-171
Meadowlands,2024-02-19,123.5,266,-172
Greenwood,2024-02-20,125.0,271,-181
Woodland Park,2024-02-21,118.5,252,-165
Riverside,2024-02-22,119.5,257,-169
Lake View,2024-02-23,121.0,262,-172
Meadowlands,2024-02-24,124.0,267,-173
Greenwood,2024-02-25,125.5,272,-182
Woodland Park,2024-02-26,119.0,253,-166
Riverside,2024-02-27,120.0,258,-170
Lake View,2024-02-28,121.5,263,-173
Meadowlands,2024-02-29,124.5,268,-174
Greenwood,2024-03-01,126.0,273,-183
Woodland Park,2024-03-02,119.5,254,-167
Riverside,2024-03-03,120.5,259,-171
Lake View,2024-03-04,122.0,264,-174
Meadowlands,2024-03-05,125.0,269,-175
Greenwood,2024-03-06,126.5,274,-184
Woodland Park,2024-03-07,120.0,255,-168
Riverside,2024-03-08,121.0,260,-172
Lake View,2024-03-09,122.5,265,-175
Meadowlands,2024-03-10,125.5,270,-176
Greenwood,2024-03-11,127.0,275,-185
Woodland Park,2024-03-12,120.5,256,-169
Riverside,2024-03-13,121.5,261,-173
Lake View,2024-03-14,123.0,266,-176
Meadowlands,2024-03-15,126.0,271,-177
Greenwood,2024-03-16,127.5,276,-186
Woodland Park,2024-03-17,121.0,257,-170
Riverside,2024-03-18,122.0,262,-174
Lake View,2024-03-19,123.5,267,-177
Meadowlands,2024-03-20,126.5,272,-178
Greenwood,2024-03-21,128.0,277,-187
Woodland Park,2024-03-22,121.5,258,-171
Riverside,2024-03-23,122.5,263,-175
Lake View,2024-03-24,124.0,268,-178
Meadowlands,2024-03-25,127.0,273,-179
Greenwood,2024-03-26,128.5,278,-188
Woodland Park,2024-03-27,122.0,259,-172
Riverside,2024-03-28,123.0,264,-176
Lake View,2024-03-29,124.5,269,-179
Meadowlands,2024-03-30,127.5,274,-180
Greenwood,2024-03-31,129.0,279,-189
Woodland Park,2024-04-01,122.5,260,-173
Riverside,2024-04-02,123.5,265,-177
Lake View,2024-04-03,125.0,270,-180
Meadowlands,2024-04-04,128.0,275,-181
Greenwood,2024-04-05,129.5,280,-190
Woodland Park,2024-04-06,123.0,261,-174
Riverside,2024-04-07,124.0,266,-178
Lake View,2024-04-08,125.5,271,-181
Meadowlands,2024-04-09,128.5,276,-182
Greenwood,2024-04-10,130.0,281,-191
Woodland Park,2024-04-11,123.5,262,-175
Riverside,2024-04-12,124.5,267,-179
Lake View,2024-04-13,126.0,272,-182
Meadowlands,2024-04-14,129.0,277,-183
Greenwood,2024-04-15,130.5,282,-192
Woodland Park,2024-04-16,124.0,263,-176
Riverside,2024-04-17,125.0,268,-180
Lake View,2024-04-18,126.5,273,-183
Meadowlands,2024-04-19,129.5,278,-184
Greenwood,2024-04-20,131.0,283,-193
Woodland Park,2024-04-21,124.5,264,-177
Riverside,2024-04-22,125.5,269,-181
Lake View,2024-04-23,127.0,274,-184
Meadowlands,2024-04-24,130.0,279,-185
Greenwood,2024-04-25,131.5,284,-194
Woodland Park,2024-04-26,125.0,265,-178
Riverside,2024-04-27,126.0,270,-182
Lake View,2024-04-28,127.5,275,-185
Meadowlands,2024-04-29,130.5,280,-186
Greenwood,2024-04-30,132.0,285,-195
